frequency,character,canto,definition,radical,stroke_count,pinyin
456,史,si2,"history, chronicle, annals",口,5,shǐ
457,委,wai2,"appoint, send, commission",女,8,wěi
458,乎,fu4,interrogative or exclamatory final particle,丿,5,hū
459,查,caa4,"investigate, examine, seek into",木,9,chá
460,轻,hing1,"light; easy, simple; gentle",車,9,qīng
461,易,ji6,change; easy,日,8,yì
462,早,zou2,early; soon; morning,日,6,zǎo
463,曾,cang4,already; sign of past,曰,12,céng
464,除,ceoi4,"eliminate, remove, except",阜,9,chú
465,农,nung4,"agriculture, farming; farmer",冖,6,nóng
466,找,zaau2,"search, seek, look for; find",手,7,zhǎo
467,装,zong1,"dress, clothes, attire; fill",衣,12,zhuāng
468,广,gwong2,"wide, extensive, broad; rad. 53",广,3,guǎng
469,显,hin2,"manifest, display; evident, clear",日,9,xiǎn
470,吧,baa.1,emphatic final particle,口,7,ba
471,阿,,,阜,7,ā
472,李,lei5,plum; judge; surname,木,7,lǐ
